0.05,0.4,0.4
0.051,0.4,0.4
0.052,0.4,0.4
0.053,0.4,0.4
0.054,0.4,0.4
0.055,0.4,0.4
0.056,0.4,0.4
0.057,0.4,0.4
0.058,0.4,0.4
0.059,0.4,0.4
0.06,0.4,0.4
0.061,0.4,0.4
0.062,0.4,0.4
0.063,0.4,0.4
0.064,0.4,0.4
0.065,0.39598,0.39346
0.066,0.38926,0.38209
0.067,0.38359,0.37203
0.068,0.37962,0.3646
0.069,0.37537,0.35648
0.07,0.37243,0.35053
0.071,0.36988,0.34519
0.072,0.3676,0.34027
0.073,0.36573,0.33612
0.074,0.36383,0.33187
0.075,0.36209,0.32791
0.076,0.36056,0.32428
0.077,0.35933,0.32131
0.078,0.3584,0.31853
0.079,0.35635,0.31382
0.08,0.35514,0.31077
0.081,0.35415,0.30817
0.082,0.35317,0.30547
0.083,0.35227,0.30299
0.084,0.35138,0.30045
0.085,0.35061,0.29825
0.086,0.34981,0.29589
0.087,0.34913,0.29391
0.088,0.34847,0.29194
0.089,0.34784,0.29003
0.09,0.34724,0.28817
0.091,0.34665,0.28632
0.092,0.34612,0.28464
0.093,0.3456,0.28299
0.094,0.34515,0.28154
0.095,0.34459,0.27969
0.096,0.34417,0.27827
0.097,0.34369,0.27665
0.098,0.34334,0.27548
0.099,0.34293,0.27407
0.1,0.34257,0.27286
